
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023438                       # Number of seconds simulated (Second)
simTicks                                  23438187000                       # Number of ticks simulated (Tick)
finalTick                                 23438187000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    189.22                       # Real time elapsed on the host (Second)
hostTickRate                                123864721                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     55067915                       # Number of instructions simulated (Count)
simOps                                       59288866                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   291019                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     313326                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         46876375                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        59979220                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      403                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59750362                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5106                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               690756                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            574762                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 130                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            46738232                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.278404                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.770106                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24139248     51.65%     51.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7080040     15.15%     66.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5974934     12.78%     79.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3830803      8.20%     87.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2253732      4.82%     92.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1668626      3.57%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    917083      1.96%     98.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    622639      1.33%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    251127      0.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              46738232                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   79183      0.44%      0.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 524782      2.90%      3.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                17426178     96.45%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.79% # attempts to use FU when none available (Count)
