
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003703                       # Number of seconds simulated (Second)
simTicks                                   3702889000                       # Number of ticks simulated (Tick)
finalTick                                  3702889000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.53                       # Real time elapsed on the host (Second)
hostTickRate                                121303362                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                      8269856                       # Number of instructions simulated (Count)
simOps                                        9026766                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270912                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     295708                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7405779                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9606217                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      381                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        9421043                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2280                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               579831                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            446880                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 121                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7264185                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.296917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.843740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3887559     53.52%     53.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    959394     13.21%     66.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    887904     12.22%     78.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    559616      7.70%     86.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    397446      5.47%     92.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    243331      3.35%     95.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    167053      2.30%     97.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     96820      1.33%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     65062      0.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7264185                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   27095      1.11%      1.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 135202      5.52%      6.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 2248031     91.81%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     98.44% # attempts to use FU when none available (Count)
