
---------- Begin Simulation Statistics ----------
simSeconds                                   0.015363                       # Number of seconds simulated (Second)
simTicks                                  15362801000                       # Number of ticks simulated (Tick)
finalTick                                 15362801000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     91.82                       # Real time elapsed on the host (Second)
hostTickRate                                167321675                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     682164                       # Number of bytes of host memory used (Byte)
simInsts                                     29196381                       # Number of instructions simulated (Count)
simOps                                       30551634                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   317988                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     332748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         30725603                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        31173540                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      444                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30976399                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5494                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               622349                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            479775                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 158                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            30566619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.013406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.217962                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13008339     42.56%     42.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9772979     31.97%     74.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4614579     15.10%     89.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1644456      5.38%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    882448      2.89%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    455087      1.49%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    120661      0.39%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     32859      0.11%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     35211      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              30566619                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   23404      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 287914      0.99%      1.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                28624597     98.79%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.87% # attempts to use FU when none available (Count)
