
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008491                       # Number of seconds simulated (Second)
simTicks                                   8490773000                       # Number of ticks simulated (Tick)
finalTick                                  8490773000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    121.37                       # Real time elapsed on the host (Second)
hostTickRate                                 69957391                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     49501258                       # Number of instructions simulated (Count)
simOps                                       49773008                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   407852                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     410091                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16981547                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50522868                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      406                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50612618                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3117                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               750265                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            575769                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 129                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16834913                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.006408                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.142155                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4119181     24.47%     24.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    483548      2.87%     27.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1533767      9.11%     36.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3361488     19.97%     56.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2296537     13.64%     70.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2980972     17.71%     87.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1655178      9.83%     97.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    278940      1.66%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    125302      0.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16834913                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  265271     65.90%     65.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     65.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1180      0.29%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     66.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  41942     10.42%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     14      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     76.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     76.62% # attempts to use FU when none available (Count)
