
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028899                       # Number of seconds simulated (Second)
simTicks                                  28898837000                       # Number of ticks simulated (Tick)
finalTick                                 28898837000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    127.52                       # Real time elapsed on the host (Second)
hostTickRate                                226626817                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     19877916                       # Number of instructions simulated (Count)
simOps                                       20149013                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   155884                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     158010                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         57797675                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        20819096                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      408                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33711507                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  14737                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               670490                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            599270                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            57658426                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.584676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.400220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  45986571     79.76%     79.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3827782      6.64%     86.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1708332      2.96%     89.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1420231      2.46%     91.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2582448      4.48%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1402846      2.43%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    439887      0.76%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     99608      0.17%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    190721      0.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              57658426                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   21817      0.74%      0.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1210      0.04%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.78% # attempts to use FU when none available (Count)
