
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018149                       # Number of seconds simulated (Second)
simTicks                                  18148515000                       # Number of ticks simulated (Tick)
finalTick                                 18148515000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     83.88                       # Real time elapsed on the host (Second)
hostTickRate                                216371122                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     13999290                       # Number of instructions simulated (Count)
simOps                                       15163603                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166903                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     180784                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         36297031                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15815388                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      424                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21283234                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16004                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               652208                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            670497                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 140                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            36149564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.588755                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.348662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  28387507     78.53%     78.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2319471      6.42%     84.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1547112      4.28%     89.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1445074      4.00%     93.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1385578      3.83%     97.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    634620      1.76%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    271043      0.75%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     80625      0.22%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     78534      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              36149564                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   28309      3.08%      3.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1159      0.13%      3.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.20% # attempts to use FU when none available (Count)
