
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000252                       # Number of seconds simulated (Second)
simTicks                                    252321000                       # Number of ticks simulated (Tick)
finalTick                                  1254005000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.75                       # Real time elapsed on the host (Second)
hostTickRate                                 91654047                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      2792072                       # Number of instructions simulated (Count)
simOps                                        3061775                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  1014152                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1112109                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           504642                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1141137                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1139879                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      2                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9666                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              4934                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              504124                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.261108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.409050                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    210097     41.68%     41.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     47539      9.43%     51.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     47232      9.37%     60.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     12147      2.41%     62.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     54380     10.79%     73.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     85715     17.00%     90.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     23509      4.66%     95.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13754      2.73%     98.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      9751      1.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                504124                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2559     92.52%     92.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.52% # attempts to use FU when none available (Count)
