
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002651                       # Number of seconds simulated (Second)
simTicks                                   2650612000                       # Number of ticks simulated (Tick)
finalTick                                  2650612000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     27.16                       # Real time elapsed on the host (Second)
hostTickRate                                 97605401                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                      8080160                       # Number of instructions simulated (Count)
simOps                                        9222493                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   297540                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     339605                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5301225                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9804082                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      385                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        9637137                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2131                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               581973                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            447016                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 125                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5160281                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.867561                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.371484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2676376     51.86%     51.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    335078      6.49%     58.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    346533      6.72%     65.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    457922      8.87%     73.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    429310      8.32%     82.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    373398      7.24%     89.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    270413      5.24%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    141489      2.74%     97.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    129762      2.51%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5160281                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20111     32.33%     32.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     32.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1191      1.91%     34.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     34.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     34.24% # attempts to use FU when none available (Count)
