
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016407                       # Number of seconds simulated (Second)
simTicks                                  16406667000                       # Number of ticks simulated (Tick)
finalTick                                 16406667000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    194.94                       # Real time elapsed on the host (Second)
hostTickRate                                 84163895                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     63207948                       # Number of instructions simulated (Count)
simOps                                       71795363                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   324248                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     368300                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32813335                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        72544338                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      420                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       72313081                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5085                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               749394                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            595379                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 147                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32674768                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.213117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.672527                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13784872     42.19%     42.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4965052     15.20%     57.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2899761      8.87%     66.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1516106      4.64%     70.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1951148      5.97%     76.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2373652      7.26%     84.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1524377      4.67%     88.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1097325      3.36%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2562475      7.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32674768                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   23345      0.13%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                17021263     94.63%     94.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     94.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     94.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     94.76% # attempts to use FU when none available (Count)
