
---------- Begin Simulation Statistics ----------
simSeconds                                   0.041589                       # Number of seconds simulated (Second)
simTicks                                  41589332000                       # Number of ticks simulated (Tick)
finalTick                                 41589332000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    572.67                       # Real time elapsed on the host (Second)
hostTickRate                                 72623610                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                    187594014                       # Number of instructions simulated (Count)
simOps                                      213068629                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   327578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     372062                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         83178665                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       214170551                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      411                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      213836385                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11570                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1102332                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            889288                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 138                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            83041683                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.575049                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.636286                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  26562414     31.99%     31.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15149654     18.24%     50.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7130767      8.59%     58.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5150344      6.20%     65.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5185217      6.24%     71.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9247350     11.14%     82.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6075162      7.32%     89.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2780625      3.35%     93.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5760150      6.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              83041683                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   29418      0.05%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                52648782     96.61%     96.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.66% # attempts to use FU when none available (Count)
