
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002545                       # Number of seconds simulated (Second)
simTicks                                   2545243000                       # Number of ticks simulated (Tick)
finalTick                                  3546925000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.68                       # Real time elapsed on the host (Second)
hostTickRate                                107473747                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680136                       # Number of bytes of host memory used (Byte)
simInsts                                      8838782                       # Number of instructions simulated (Count)
simOps                                        9108354                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   373218                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     384601                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5090486                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7198344                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7192672                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      7                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                19523                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5090361                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.412998                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.412128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1762312     34.62%     34.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1188926     23.36%     57.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1049406     20.62%     78.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    649781     12.76%     91.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    329211      6.47%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     66763      1.31%     99.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     15408      0.30%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     15948      0.31%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     12606      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5090361                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     833     11.01%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.01% # attempts to use FU when none available (Count)
