
---------- Begin Simulation Statistics ----------
simSeconds                                   0.087849                       # Number of seconds simulated (Second)
simTicks                                  87849192000                       # Number of ticks simulated (Tick)
finalTick                                 87849192000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    683.91                       # Real time elapsed on the host (Second)
hostTickRate                                128452214                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                    212904947                       # Number of instructions simulated (Count)
simOps                                      213176042                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   311307                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     311704                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        175698385                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       214747059                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      400                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      214128174                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  41571                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1571416                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1560271                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 127                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           175560740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.219681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.273899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  67861847     38.65%     38.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  44097986     25.12%     63.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  34632961     19.73%     83.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  17351101      9.88%     93.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9850584      5.61%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1388243      0.79%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    312024      0.18%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     32684      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     33310      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             175560740                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   19119      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               14386388      8.29%      8.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv               159089272     91.68%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.98% # attempts to use FU when none available (Count)
