
---------- Begin Simulation Statistics ----------
simSeconds                                   0.074236                       # Number of seconds simulated (Second)
simTicks                                  74236490000                       # Number of ticks simulated (Tick)
finalTick                                 74236490000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    668.64                       # Real time elapsed on the host (Second)
hostTickRate                                111025975                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                    216881278                       # Number of instructions simulated (Count)
simOps                                      233122805                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   324361                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     348652                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        148472981                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       233953155                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      415                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      233664274                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12758                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               830764                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            768128                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 142                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           148337086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.575225                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.930728                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  66055276     44.53%     44.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22329070     15.05%     59.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  20840989     14.05%     73.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14281476      9.63%     83.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10977980      7.40%     90.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5920670      3.99%     94.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3954315      2.67%     97.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2250842      1.52%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1726468      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             148337086                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  123145      0.12%      0.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult               22718416     21.72%     21.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                81714344     78.13%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.96% # attempts to use FU when none available (Count)
