
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013260                       # Number of seconds simulated (Second)
simTicks                                  13260132000                       # Number of ticks simulated (Tick)
finalTick                                 14252777000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    140.76                       # Real time elapsed on the host (Second)
hostTickRate                                 94202855                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     46724941                       # Number of instructions simulated (Count)
simOps                                       52212805                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   331944                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     370931                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         26520264                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50326210                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50309709                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      9                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                42589                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             51976                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            26519997                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.897048                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.124121                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  12382533     46.69%     46.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1554837      5.86%     52.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2280426      8.60%     61.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2990847     11.28%     72.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3765041     14.20%     86.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1813722      6.84%     93.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1275957      4.81%     98.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    216109      0.81%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    240525      0.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              26519997                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       3     14.29%     14.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.29% # attempts to use FU when none available (Count)
