
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017861                       # Number of seconds simulated (Second)
simTicks                                  17860674000                       # Number of ticks simulated (Tick)
finalTick                                 17860674000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    202.32                       # Real time elapsed on the host (Second)
hostTickRate                                 88278165                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     67827612                       # Number of instructions simulated (Count)
simOps                                       73104275                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   335245                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     361325                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         35721349                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        74197311                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      408                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       73815669                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21585                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1093443                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            979535                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            35582203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.074511                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.641642                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7172045     20.16%     20.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7256342     20.39%     40.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8071973     22.69%     63.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6538527     18.38%     81.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3540046      9.95%     91.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1833057      5.15%     96.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    791937      2.23%     98.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    303499      0.85%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     74777      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              35582203                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26911      0.09%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 805335      2.61%      2.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                29963529     97.18%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.88% # attempts to use FU when none available (Count)
