
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001888                       # Number of seconds simulated (Second)
simTicks                                   1888301500                       # Number of ticks simulated (Tick)
finalTick                                  2889674500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.10                       # Real time elapsed on the host (Second)
hostTickRate                                110423172                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680136                       # Number of bytes of host memory used (Byte)
simInsts                                      7042233                       # Number of instructions simulated (Count)
simOps                                        8378015                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   411809                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     489921                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3776603                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6471205                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6457984                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     56                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                22537                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             46507                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3776375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.710101                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.225074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1971476     52.21%     52.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    386931     10.25%     62.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    251456      6.66%     69.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     95360      2.53%     71.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    527075     13.96%     85.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    261751      6.93%     92.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    173827      4.60%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     45948      1.22%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     62551      1.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3776375                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
