
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019490                       # Number of seconds simulated (Second)
simTicks                                  19489738000                       # Number of ticks simulated (Tick)
finalTick                                 19489738000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    250.72                       # Real time elapsed on the host (Second)
hostTickRate                                 77736393                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     80686562                       # Number of instructions simulated (Count)
simOps                                       90885659                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   321825                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     362505                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         38979477                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        91558404                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      405                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       91324965                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3434                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               673149                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            638129                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 132                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            38841506                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.351221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.523950                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14413048     37.11%     37.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5036177     12.97%     50.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4256294     10.96%     61.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2609037      6.72%     67.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3862472      9.94%     77.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3043235      7.84%     85.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2139582      5.51%     91.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1407754      3.62%     94.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2073907      5.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              38841506                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   84871      0.32%      0.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                6256626     23.91%     24.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                18740100     71.61%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     95.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     95.84% # attempts to use FU when none available (Count)
