
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022962                       # Number of seconds simulated (Second)
simTicks                                  22962337000                       # Number of ticks simulated (Tick)
finalTick                                 22962337000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    201.38                       # Real time elapsed on the host (Second)
hostTickRate                                114022899                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     57149905                       # Number of instructions simulated (Count)
simOps                                       73191879                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   283786                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     363445                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         45924675                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        73895751                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      398                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       73709787                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3270                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               704269                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            614147                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 125                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            45787244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.609832                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.556361                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  29005341     63.35%     63.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3097068      6.76%     70.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1465474      3.20%     73.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1015700      2.22%     75.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3411836      7.45%     82.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2130349      4.65%     87.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1969853      4.30%     91.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1016520      2.22%     94.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2675103      5.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              45787244                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  232495     30.99%     30.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     30.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1224      0.16%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     31.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.00%     31.16% # attempts to use FU when none available (Count)
