
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013974                       # Number of seconds simulated (Second)
simTicks                                  13973989000                       # Number of ticks simulated (Tick)
finalTick                                 13973989000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    233.50                       # Real time elapsed on the host (Second)
hostTickRate                                 59845049                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     75853722                       # Number of instructions simulated (Count)
simOps                                       93548816                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   324851                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     400632                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27947979                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        94347751                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      401                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       94238117                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4337                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               799335                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            826791                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 128                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27808656                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.388805                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.844294                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7542638     27.12%     27.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3229595     11.61%     38.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1060873      3.81%     42.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1763965      6.34%     48.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2232116      8.03%     56.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5039240     18.12%     75.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2941387     10.58%     85.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    168841      0.61%     86.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3830001     13.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27808656                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   78828      3.14%      3.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1225      0.05%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      3.19% # attempts to use FU when none available (Count)
