
---------- Begin Simulation Statistics ----------
simSeconds                                   0.111791                       # Number of seconds simulated (Second)
simTicks                                 111791355000                       # Number of ticks simulated (Tick)
finalTick                                111791355000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    498.68                       # Real time elapsed on the host (Second)
hostTickRate                                224175114                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     88223768                       # Number of instructions simulated (Count)
simOps                                       94747505                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176915                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189997                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        223582712                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        95660640                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      436                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      122587944                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57183                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               913570                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1365866                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 152                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           223435442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.548650                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.326802                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 178523104     79.90%     79.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15312683      6.85%     86.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7121789      3.19%     89.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8475813      3.79%     93.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6735176      3.01%     96.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4358153      1.95%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1796408      0.80%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    804201      0.36%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    308115      0.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             223435442                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   42620      1.11%      1.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1159      0.03%      1.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.14% # attempts to use FU when none available (Count)
