
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028481                       # Number of seconds simulated (Second)
simTicks                                  28480904500                       # Number of ticks simulated (Tick)
finalTick                                 29472937500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    294.87                       # Real time elapsed on the host (Second)
hostTickRate                                 96589507                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                    111860642                       # Number of instructions simulated (Count)
simOps                                      122566810                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   379362                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     415670                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         56961809                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       120665682                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      120652333                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     16                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                28080                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37191                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56961506                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.118138                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.937800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17371497     30.50%     30.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8946469     15.71%     46.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8239975     14.47%     60.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4719235      8.28%     68.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10763310     18.90%     87.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4448648      7.81%     95.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1760449      3.09%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    486349      0.85%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    225574      0.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56961506                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      13     34.21%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     34.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     34.21% # attempts to use FU when none available (Count)
