
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010371                       # Number of seconds simulated (Second)
simTicks                                  10370782000                       # Number of ticks simulated (Tick)
finalTick                                 10370782000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    146.72                       # Real time elapsed on the host (Second)
hostTickRate                                 70683757                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     60179326                       # Number of instructions simulated (Count)
simOps                                       60451276                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   410162                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     412015                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20741565                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61073574                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      448                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       60902875                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2139                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               622745                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            460709                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 156                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20594431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.957250                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.203199                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4643739     22.55%     22.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1345022      6.53%     29.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4043406     19.63%     48.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    852367      4.14%     52.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3497641     16.98%     69.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2830104     13.74%     83.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2987520     14.51%     98.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    309320      1.50%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     85312      0.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20594431                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  696908     93.71%     93.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     93.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1241      0.17%     93.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     93.88% # attempts to use FU when none available (Count)
