
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001859                       # Number of seconds simulated (Second)
simTicks                                   1858525000                       # Number of ticks simulated (Tick)
finalTick                                  1858525000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.49                       # Real time elapsed on the host (Second)
hostTickRate                                106251285                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681156                       # Number of bytes of host memory used (Byte)
simInsts                                      4680768                       # Number of instructions simulated (Count)
simOps                                        5736716                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   267596                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     327963                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3717051                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6325139                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      415                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6135363                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2023                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               588837                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            469703                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 137                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3571482                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.717876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.500673                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2031876     56.89%     56.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    283715      7.94%     64.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    248181      6.95%     71.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    178734      5.00%     76.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    225884      6.32%     83.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    192475      5.39%     88.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    129735      3.63%     92.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     72293      2.02%     94.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    208589      5.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3571482                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22960     15.54%     15.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1211      0.82%     16.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.36% # attempts to use FU when none available (Count)
