
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001363                       # Number of seconds simulated (Second)
simTicks                                   1363495000                       # Number of ticks simulated (Tick)
finalTick                                  1363495000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.94                       # Real time elapsed on the host (Second)
hostTickRate                                105351429                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681160                       # Number of bytes of host memory used (Byte)
simInsts                                      3501289                       # Number of instructions simulated (Count)
simOps                                        3773230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     291538                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2726991                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4341636                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      403                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4162477                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1998                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               568808                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            429419                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 125                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2583891                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.610934                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.175627                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1386265     53.65%     53.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    216071      8.36%     62.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    261574     10.12%     72.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    143430      5.55%     77.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    226968      8.78%     86.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    129235      5.00%     91.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    138007      5.34%     96.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     47849      1.85%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     34492      1.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2583891                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   38119     48.81%     48.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     48.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1212      1.55%     50.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     50.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     50.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     50.37% # attempts to use FU when none available (Count)
