
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000624                       # Number of seconds simulated (Second)
simTicks                                    623657500                       # Number of ticks simulated (Tick)
finalTick                                  1624605500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.65                       # Real time elapsed on the host (Second)
hostTickRate                                 64627271                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680136                       # Number of bytes of host memory used (Byte)
simInsts                                      5161770                       # Number of instructions simulated (Count)
simOps                                        5916138                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   534887                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     613057                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1247315                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3999055                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3996499                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                13150                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              7211                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1246875                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.205212                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.087881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    234687     18.82%     18.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     65381      5.24%     24.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    115805      9.29%     33.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    190053     15.24%     48.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    305466     24.50%     73.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    189781     15.22%     88.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     77306      6.20%     94.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     52424      4.20%     98.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     15972      1.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1246875                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   12128     99.93%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.93% # attempts to use FU when none available (Count)
