
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008589                       # Number of seconds simulated (Second)
simTicks                                   8589454500                       # Number of ticks simulated (Tick)
finalTick                                  9590834500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     96.10                       # Real time elapsed on the host (Second)
hostTickRate                                 89377930                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                     34328588                       # Number of instructions simulated (Count)
simOps                                       41121032                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   357207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     427886                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17178909                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        39234302                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       39216222                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                42771                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             62727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17178597                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.282854                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.513152                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7207922     41.96%     41.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2129988     12.40%     54.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1143314      6.66%     61.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    434566      2.53%     63.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1897771     11.05%     74.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1475293      8.59%     83.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2031476     11.83%     95.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    526633      3.07%     98.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    331634      1.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17178597                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
