
---------- Begin Simulation Statistics ----------
simSeconds                                   0.077502                       # Number of seconds simulated (Second)
simTicks                                  77501560000                       # Number of ticks simulated (Tick)
finalTick                                 77501560000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    550.43                       # Real time elapsed on the host (Second)
hostTickRate                                140801428                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                    129929340                       # Number of instructions simulated (Count)
simOps                                      130215232                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   236050                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     236569                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        155003121                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       131366854                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      410                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      139601182                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4420                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1152031                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1081514                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 137                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           154858557                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.901475                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.865659                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 112913935     72.91%     72.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12657957      8.17%     81.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5942388      3.84%     84.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5575984      3.60%     88.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5583687      3.61%     92.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4315965      2.79%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2708139      1.75%     96.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3116926      2.01%     98.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2043576      1.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             154858557                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  371621     12.19%     12.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     12.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1207      0.04%     12.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.23% # attempts to use FU when none available (Count)
