
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004999                       # Number of seconds simulated (Second)
simTicks                                   4998846000                       # Number of ticks simulated (Tick)
finalTick                                  4998846000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.99                       # Real time elapsed on the host (Second)
hostTickRate                                131592373                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     11779949                       # Number of instructions simulated (Count)
simOps                                       12051048                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   310101                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317237                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9997693                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12653401                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      408                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12456444                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2711                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               602760                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            475182                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9857183                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.263692                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.154905                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6542073     66.37%     66.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    572897      5.81%     72.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    540161      5.48%     77.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    558171      5.66%     83.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    501612      5.09%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    352222      3.57%     91.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    375494      3.81%     95.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    208234      2.11%     97.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    206319      2.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9857183                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  109864     26.22%     26.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1613      0.38%     26.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1210      0.29%     26.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.89% # attempts to use FU when none available (Count)
