
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000181                       # Number of seconds simulated (Second)
simTicks                                    180578500                       # Number of ticks simulated (Tick)
finalTick                                  1170243500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.83                       # Real time elapsed on the host (Second)
hostTickRate                                 63717727                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                      2790337                       # Number of instructions simulated (Count)
simOps                                        3110274                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   984536                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1097417                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           361157                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1211338                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1209883                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     57                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                27582                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             22998                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              351800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.439122                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.492390                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     84437     24.00%     24.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     19514      5.55%     29.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     28272      8.04%     37.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     34984      9.94%     47.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     21181      6.02%     53.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     69174     19.66%     73.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     66876     19.01%     92.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     21873      6.22%     98.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5489      1.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                351800                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9338     41.77%     41.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     41.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     41.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     41.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     41.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     41.77% # attempts to use FU when none available (Count)
