
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004867                       # Number of seconds simulated (Second)
simTicks                                   4867164500                       # Number of ticks simulated (Tick)
finalTick                                  4867164500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     33.26                       # Real time elapsed on the host (Second)
hostTickRate                                146345810                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                      9143935                       # Number of instructions simulated (Count)
simOps                                        9413118                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   274939                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283032                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9734330                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10050286                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        9852775                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2083                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               637297                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            527768                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9615660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.024659                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.158058                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7085755     73.69%     73.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    656242      6.82%     80.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    375415      3.90%     84.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    244882      2.55%     86.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    294331      3.06%     90.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    197823      2.06%     92.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    159901      1.66%     93.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    225276      2.34%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    376035      3.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9615660                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   69568     15.34%     15.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     15.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.26%     15.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.60% # attempts to use FU when none available (Count)
