
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001246                       # Number of seconds simulated (Second)
simTicks                                   1246160000                       # Number of ticks simulated (Tick)
finalTick                                  1246160000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.73                       # Real time elapsed on the host (Second)
hostTickRate                                106256127                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                      3303886                       # Number of instructions simulated (Count)
simOps                                        3575037                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   281709                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     304829                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2492321                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4137985                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      379                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3953242                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1942                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               563326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            451535                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 120                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2356600                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.677519                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.346038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1282600     54.43%     54.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    231382      9.82%     64.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    172299      7.31%     71.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    103421      4.39%     75.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    204080      8.66%     84.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    147895      6.28%     90.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     77858      3.30%     94.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     52464      2.23%     96.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     84601      3.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2356600                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20023      4.35%      4.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1210      0.26%      4.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.61% # attempts to use FU when none available (Count)
