
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005259                       # Number of seconds simulated (Second)
simTicks                                   5258619000                       # Number of ticks simulated (Tick)
finalTick                                  5258619000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     69.79                       # Real time elapsed on the host (Second)
hostTickRate                                 75351989                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     29792413                       # Number of instructions simulated (Count)
simOps                                       30866751                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   426902                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     442296                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10517239                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        31522568                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      406                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       31275366                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1948                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               656222                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            702009                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 133                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10380271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.012962                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.815537                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3817793     36.78%     36.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    786083      7.57%     44.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    350700      3.38%     47.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    215561      2.08%     49.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1430273     13.78%     63.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1160052     11.18%     74.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1457730     14.04%     88.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    423164      4.08%     92.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    738915      7.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10380271                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  421404      4.74%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.01%      4.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.75% # attempts to use FU when none available (Count)
