
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006751                       # Number of seconds simulated (Second)
simTicks                                   6750849000                       # Number of ticks simulated (Tick)
finalTick                                  7741013000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     74.88                       # Real time elapsed on the host (Second)
hostTickRate                                 90152120                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     21474422                       # Number of instructions simulated (Count)
simOps                                       23639446                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   286772                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     315684                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         13501698                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22031092                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       23749594                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4999                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               318175                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            628141                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            13498165                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.759468                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.428708                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7626888     56.50%     56.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    908073      6.73%     63.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    774441      5.74%     68.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    511058      3.79%     72.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1247030      9.24%     81.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1014026      7.51%     89.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    656427      4.86%     94.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    319123      2.36%     96.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    441099      3.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              13498165                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     767      0.16%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.16% # attempts to use FU when none available (Count)
