
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045125                       # Number of seconds simulated (Second)
simTicks                                  45125157000                       # Number of ticks simulated (Tick)
finalTick                                 46115102000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    579.56                       # Real time elapsed on the host (Second)
hostTickRate                                 77861359                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                    170204897                       # Number of instructions simulated (Count)
simOps                                      200588766                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   293681                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     346106                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         90250314                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       199307188                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      201055553                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    679                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               644928                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            832491                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            90239794                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.228014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.454431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  39828289     44.14%     44.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6536818      7.24%     51.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5595809      6.20%     57.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9380405     10.39%     67.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8522373      9.44%     77.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9217527     10.21%     87.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5594386      6.20%     93.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3071037      3.40%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2493150      2.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              90239794                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   39504      9.01%      9.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   7401      1.69%     10.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.70% # attempts to use FU when none available (Count)
