
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007381                       # Number of seconds simulated (Second)
simTicks                                   7380965500                       # Number of ticks simulated (Tick)
finalTick                                  8371430500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    100.58                       # Real time elapsed on the host (Second)
hostTickRate                                 73383231                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     24121877                       # Number of instructions simulated (Count)
simOps                                       30670088                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   239825                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     304928                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14761931                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28856486                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       32283236                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3959                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               112776                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             34818                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14757674                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.187556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.850363                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8050427     54.55%     54.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    660494      4.48%     59.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    691622      4.69%     63.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    546417      3.70%     67.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1335347      9.05%     76.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    796407      5.40%     81.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    829016      5.62%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    480824      3.26%     90.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1367120      9.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14757674                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9172      0.35%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.35% # attempts to use FU when none available (Count)
