
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007012                       # Number of seconds simulated (Second)
simTicks                                   7011890000                       # Number of ticks simulated (Tick)
finalTick                                  7011890000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     65.46                       # Real time elapsed on the host (Second)
hostTickRate                                107121329                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680128                       # Number of bytes of host memory used (Byte)
simInsts                                     16104846                       # Number of instructions simulated (Count)
simOps                                       18731847                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   246035                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     286167                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14023781                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19343461                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      165                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19148115                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2443                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               611615                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            495233                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  46                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            13893277                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.378229                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.227661                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8952985     64.44%     64.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    773667      5.57%     70.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    720208      5.18%     75.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    770196      5.54%     80.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    851377      6.13%     86.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    679242      4.89%     91.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    486987      3.51%     95.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    369116      2.66%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    289499      2.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              13893277                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20683     18.85%     18.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      2      0.00%     18.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1257      1.15%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.99% # attempts to use FU when none available (Count)
