
---------- Begin Simulation Statistics ----------
simSeconds                                   0.122936                       # Number of seconds simulated (Second)
simTicks                                 122936363000                       # Number of ticks simulated (Tick)
finalTick                                123926587000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    590.51                       # Real time elapsed on the host (Second)
hostTickRate                                208185942                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     66319198                       # Number of instructions simulated (Count)
simOps                                       80131273                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112308                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     135698                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        245872726                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        78824941                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      149001431                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 143298                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               619977                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1556720                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           245867312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.606024                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.436692                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 198728714     80.83%     80.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10183415      4.14%     84.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9398860      3.82%     88.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5244444      2.13%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11447080      4.66%     95.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7537091      3.07%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2691725      1.09%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    425025      0.17%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    210958      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             245867312                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       3      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
