
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013793                       # Number of seconds simulated (Second)
simTicks                                  13793183000                       # Number of ticks simulated (Tick)
finalTick                                 14783020000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     56.06                       # Real time elapsed on the host (Second)
hostTickRate                                246059451                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                      7224617                       # Number of instructions simulated (Count)
simOps                                        8217252                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   128881                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     146589                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27586366                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6347212                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13076565                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10470                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                56425                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            137485                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27579145                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.474147                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.217410                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22998488     83.39%     83.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1117491      4.05%     87.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1014053      3.68%     91.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    574361      2.08%     93.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1301477      4.72%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    474233      1.72%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     68348      0.25%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     24828      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5866      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27579145                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      54      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
