
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026947                       # Number of seconds simulated (Second)
simTicks                                  26946977000                       # Number of ticks simulated (Tick)
finalTick                                 26946977000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    303.79                       # Real time elapsed on the host (Second)
hostTickRate                                 88702812                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                    112158471                       # Number of instructions simulated (Count)
simOps                                      115234875                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   369198                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     379324                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         53893955                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       116003890                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      167                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      115722288                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2816                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               769005                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            753422                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            53773681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.152025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.854641                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  29917559     55.64%     55.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2501923      4.65%     60.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2557186      4.76%     65.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1847610      3.44%     68.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3588115      6.67%     75.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3344364      6.22%     81.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2736948      5.09%     86.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3172613      5.90%     92.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4107363      7.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              53773681                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26315      1.17%      1.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3587      0.16%      1.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.05%      1.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.38% # attempts to use FU when none available (Count)
