
---------- Begin Simulation Statistics ----------
simSeconds                                   0.052779                       # Number of seconds simulated (Second)
simTicks                                  52778860000                       # Number of ticks simulated (Tick)
finalTick                                 52778860000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    598.14                       # Real time elapsed on the host (Second)
hostTickRate                                 88238857                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                    222669607                       # Number of instructions simulated (Count)
simOps                                      228555241                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   372272                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     382112                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        105557721                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       229679389                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      411                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      229224101                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4514                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1124558                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1267916                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 138                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           105418142                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.174427                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.820059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  57081397     54.15%     54.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4849208      4.60%     58.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5585320      5.30%     64.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4331760      4.11%     68.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7929951      7.52%     75.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7037398      6.68%     82.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5022193      4.76%     87.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5478299      5.20%     92.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8102616      7.69%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             105418142                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  108359      2.45%      2.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5594      0.13%      2.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.03%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.61% # attempts to use FU when none available (Count)
