
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030702                       # Number of seconds simulated (Second)
simTicks                                  30701671000                       # Number of ticks simulated (Tick)
finalTick                                 30701671000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    295.07                       # Real time elapsed on the host (Second)
hostTickRate                                104047108                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     76826055                       # Number of instructions simulated (Count)
simOps                                       86259964                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   260361                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292332                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         61403343                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        87126201                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      194                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       86792908                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10349                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               866254                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            932824                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  75                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            61282870                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.416267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.450848                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  41599486     67.88%     67.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2590253      4.23%     72.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2507948      4.09%     76.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2840554      4.64%     80.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2969028      4.84%     85.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1779299      2.90%     88.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2129333      3.47%     92.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1819260      2.97%     95.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3047709      4.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              61282870                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   27030      1.19%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3618      0.16%      1.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1114      0.05%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   1168      0.05%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     85      0.00%      1.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     17      0.00%      1.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      1.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      1.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                980060     43.20%     44.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc            1146993     50.56%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     95.23% # attempts to use FU when none available (Count)
