
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008596                       # Number of seconds simulated (Second)
simTicks                                   8595539000                       # Number of ticks simulated (Tick)
finalTick                                  8595539000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    118.04                       # Real time elapsed on the host (Second)
hostTickRate                                 72820526                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     32804154                       # Number of instructions simulated (Count)
simOps                                       38142620                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277913                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     323140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17191079                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        38745024                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      415                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       38548430                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2152                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               602818                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            496483                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 142                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17046581                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.261358                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.615143                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8235452     48.31%     48.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    782603      4.59%     52.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1013026      5.94%     58.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1321658      7.75%     66.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1415742      8.31%     74.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1606417      9.42%     84.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1314528      7.71%     92.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    664660      3.90%     95.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    692495      4.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17046581                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22954     15.77%     15.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1791      1.23%     17.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.82%     17.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.82% # attempts to use FU when none available (Count)
