
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000428                       # Number of seconds simulated (Second)
simTicks                                    427853500                       # Number of ticks simulated (Tick)
finalTick                                  1418389500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.96                       # Real time elapsed on the host (Second)
hostTickRate                                 42977163                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                      4146109                       # Number of instructions simulated (Count)
simOps                                        5140628                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   416464                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     516360                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           855707                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3224576                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3346338                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     53                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10480                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              7659                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              848796                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.942453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.955411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    196542     23.16%     23.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     64277      7.57%     30.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     47295      5.57%     36.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     48827      5.75%     42.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     95740     11.28%     53.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     81975      9.66%     62.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    100970     11.90%     74.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     63025      7.43%     82.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    150145     17.69%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                848796                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15680     14.86%     14.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.86% # attempts to use FU when none available (Count)
