
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023153                       # Number of seconds simulated (Second)
simTicks                                  23153294500                       # Number of ticks simulated (Tick)
finalTick                                 23153294500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    188.36                       # Real time elapsed on the host (Second)
hostTickRate                                122917843                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     51608434                       # Number of instructions simulated (Count)
simOps                                       52279626                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   273982                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277545                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         46306590                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        53177587                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      164                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54149666                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2734                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               897950                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            958709                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  45                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            46186313                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.172418                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.326175                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  32397722     70.15%     70.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4427221      9.59%     79.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1480631      3.21%     82.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1002765      2.17%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1209671      2.62%     87.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1104386      2.39%     90.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    880292      1.91%     92.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1358478      2.94%     94.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2325147      5.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              46186313                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30218      0.79%      0.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      4      0.00%      0.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.03%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.82% # attempts to use FU when none available (Count)
