
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012942                       # Number of seconds simulated (Second)
simTicks                                  12942038000                       # Number of ticks simulated (Tick)
finalTick                                 12942038000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    152.84                       # Real time elapsed on the host (Second)
hostTickRate                                 84679217                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681156                       # Number of bytes of host memory used (Byte)
simInsts                                     51440285                       # Number of instructions simulated (Count)
simOps                                       54064064                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   336571                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     353739                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25884077                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54745912                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      406                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54518873                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4542                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               682253                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            568093                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 133                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25724335                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.119350                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.644247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13552131     52.68%     52.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1221301      4.75%     57.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    982236      3.82%     61.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1899005      7.38%     68.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2142162      8.33%     76.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1853675      7.21%     84.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1850384      7.19%     91.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1090770      4.24%     95.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1132671      4.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25724335                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22157      7.49%      7.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1165      0.39%      7.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.88% # attempts to use FU when none available (Count)
