
---------- Begin Simulation Statistics ----------
simSeconds                                   0.043861                       # Number of seconds simulated (Second)
simTicks                                  43861390000                       # Number of ticks simulated (Tick)
finalTick                                 44851241000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    531.72                       # Real time elapsed on the host (Second)
hostTickRate                                 82489693                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                    135286591                       # Number of instructions simulated (Count)
simOps                                      172267863                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   254432                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     323982                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         87722780                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       170569680                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      170552923                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1522                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               228159                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             77772                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            87711022                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.944487                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.827741                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  53851792     61.40%     61.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2738645      3.12%     64.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3634202      4.14%     68.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3642456      4.15%     72.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3264933      3.72%     76.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3970860      4.53%     81.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5452961      6.22%     87.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5254676      5.99%     93.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5900497      6.73%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              87711022                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  227909      3.47%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1925644     29.28%     32.74% # attempts to use FU when none available (Count)
