
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011383                       # Number of seconds simulated (Second)
simTicks                                  11383080500                       # Number of ticks simulated (Tick)
finalTick                                 11383080500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     96.26                       # Real time elapsed on the host (Second)
hostTickRate                                118253803                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679092                       # Number of bytes of host memory used (Byte)
simInsts                                     33235455                       # Number of instructions simulated (Count)
simOps                                       33906272                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   345267                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     352236                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22766162                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        34588510                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      166                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       34322912                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7096                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               682227                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            671954                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  47                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22648066                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.515490                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.626254                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15356877     67.81%     67.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1174854      5.19%     72.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    903447      3.99%     76.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    533292      2.35%     79.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    837452      3.70%     83.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    433444      1.91%     84.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    962113      4.25%     89.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1121114      4.95%     94.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1325473      5.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22648066                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  243997     11.12%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2565      0.12%     11.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.05%     11.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.29% # attempts to use FU when none available (Count)
