
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000944                       # Number of seconds simulated (Second)
simTicks                                    943987000                       # Number of ticks simulated (Tick)
finalTick                                  1934156000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.98                       # Real time elapsed on the host (Second)
hostTickRate                                 72727120                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                      4330388                       # Number of instructions simulated (Count)
simOps                                        4867500                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   333621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     375000                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1887974                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3036010                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3643896                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11506                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                94997                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            242938                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1886662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.931398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.085823                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    750633     39.79%     39.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    233794     12.39%     52.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    211552     11.21%     63.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    235229     12.47%     75.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    209033     11.08%     86.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    115011      6.10%     93.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     68134      3.61%     96.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     44888      2.38%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18388      0.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1886662                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     455      0.49%      0.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.49% # attempts to use FU when none available (Count)
