
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005805                       # Number of seconds simulated (Second)
simTicks                                   5804698500                       # Number of ticks simulated (Tick)
finalTick                                  5804698500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     80.97                       # Real time elapsed on the host (Second)
hostTickRate                                 71691511                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     24953874                       # Number of instructions simulated (Count)
simOps                                       27497557                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   308194                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     339610                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11609398                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28193083                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      180                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27928173                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               695550                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            677439                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  69                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11486502                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.431391                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.836038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5301408     46.15%     46.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    807012      7.03%     53.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    671321      5.84%     59.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    924169      8.05%     67.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    807988      7.03%     74.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    650843      5.67%     79.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    807871      7.03%     86.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    454501      3.96%     90.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1061389      9.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11486502                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   23945      4.85%      4.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1822      0.37%      5.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.24%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      5.46% # attempts to use FU when none available (Count)
