
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039771                       # Number of seconds simulated (Second)
simTicks                                  39771241000                       # Number of ticks simulated (Tick)
finalTick                                 39771241000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    300.65                       # Real time elapsed on the host (Second)
hostTickRate                                132286061                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     58914782                       # Number of instructions simulated (Count)
simOps                                       77931618                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195961                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259214                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         79542483                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        78762988                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      408                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       84687571                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2296                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               831777                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            886946                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            79402126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.066566                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.121653                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  57659761     72.62%     72.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4956448      6.24%     78.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2850117      3.59%     82.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1048366      1.32%     83.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5623942      7.08%     90.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1585739      2.00%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1680937      2.12%     94.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1598822      2.01%     96.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2397994      3.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              79402126                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  215997     11.83%     11.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     11.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.07%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.89% # attempts to use FU when none available (Count)
