
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039345                       # Number of seconds simulated (Second)
simTicks                                  39345403000                       # Number of ticks simulated (Tick)
finalTick                                 40335800000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    294.05                       # Real time elapsed on the host (Second)
hostTickRate                                133804361                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     63169670                       # Number of instructions simulated (Count)
simOps                                       87067578                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   214825                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     296096                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         78690806                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        85374131                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       85459040                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    197                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               232952                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            411564                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78685244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.086087                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.264884                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  59478367     75.59%     75.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3750411      4.77%     80.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1464718      1.86%     82.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1394414      1.77%     83.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4002462      5.09%     89.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1457186      1.85%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2013740      2.56%     93.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1773835      2.25%     95.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3350111      4.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78685244                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3466      0.11%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.11% # attempts to use FU when none available (Count)
