
---------- Begin Simulation Statistics ----------
simSeconds                                   0.080451                       # Number of seconds simulated (Second)
simTicks                                  80450865000                       # Number of ticks simulated (Tick)
finalTick                                 81440934000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    324.98                       # Real time elapsed on the host (Second)
hostTickRate                                247555975                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     41236254                       # Number of instructions simulated (Count)
simOps                                       52243396                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126888                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160758                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        160901730                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50527804                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       68087092                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25887                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               210744                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            617692                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           160898586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.423168                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.190058                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 139077487     86.44%     86.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4402689      2.74%     89.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3618438      2.25%     91.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1724845      1.07%     92.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10154217      6.31%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    979607      0.61%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    833535      0.52%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    105265      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2503      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             160898586                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       1      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
