
---------- Begin Simulation Statistics ----------
simSeconds                                   0.053212                       # Number of seconds simulated (Second)
simTicks                                  53211974000                       # Number of ticks simulated (Tick)
finalTick                                 54201813000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    289.93                       # Real time elapsed on the host (Second)
hostTickRate                                183533943                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     41087293                       # Number of instructions simulated (Count)
simOps                                       52006964                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141714                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     179378                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        106423948                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50440290                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       79155476                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  98869                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               359669                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1071869                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           106420235                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.743801                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.674901                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  83815618     78.76%     78.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5258936      4.94%     83.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2477833      2.33%     86.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1893287      1.78%     87.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6827348      6.42%     94.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2732469      2.57%     96.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2271695      2.13%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    485286      0.46%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    657763      0.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             106420235                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     100      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
