
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019606                       # Number of seconds simulated (Second)
simTicks                                  19605863000                       # Number of ticks simulated (Tick)
finalTick                                 20596333000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    180.16                       # Real time elapsed on the host (Second)
hostTickRate                                108826449                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                     41170846                       # Number of instructions simulated (Count)
simOps                                       53978227                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     299617                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         39211726                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52134217                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      241                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       52204396                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    434                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                82905                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             84479                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  96                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39186837                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.332192                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.456328                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  27855833     71.08%     71.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1776244      4.53%     75.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1091077      2.78%     78.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    941930      2.40%     80.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1778848      4.54%     85.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1223456      3.12%     88.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1296075      3.31%     91.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1375906      3.51%     95.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1847468      4.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              39186837                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     471      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1955431     34.75%     34.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     34.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     34.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     34.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     34.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1270978     22.58%     57.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult               1455831     25.87%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     83.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     83.21% # attempts to use FU when none available (Count)
