
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000517                       # Number of seconds simulated (Second)
simTicks                                    516764000                       # Number of ticks simulated (Tick)
finalTick                                  1515258000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.41                       # Real time elapsed on the host (Second)
hostTickRate                                 95578116                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681160                       # Number of bytes of host memory used (Byte)
simInsts                                      3455129                       # Number of instructions simulated (Count)
simOps                                        3948070                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   639027                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     730195                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1033528                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2042849                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      231                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2036127                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    116                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                21951                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             33393                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  86                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1014123                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.007771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.709805                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    567695     55.98%     55.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     57263      5.65%     61.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     56892      5.61%     67.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     38609      3.81%     71.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     40733      4.02%     75.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     76213      7.52%     82.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     81411      8.03%     90.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     45666      4.50%     95.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     49641      4.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1014123                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     115      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.03% # attempts to use FU when none available (Count)
