
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005525                       # Number of seconds simulated (Second)
simTicks                                   5524668500                       # Number of ticks simulated (Tick)
finalTick                                  6514086500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     87.38                       # Real time elapsed on the host (Second)
hostTickRate                                 63225009                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680128                       # Number of bytes of host memory used (Byte)
simInsts                                     23130478                       # Number of instructions simulated (Count)
simOps                                       33195488                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   264707                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     379892                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11049337                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        31351343                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       15                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       31347484                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    400                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                82360                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            172148                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11021255                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.844275                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.072303                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4504946     40.88%     40.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    972211      8.82%     49.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    555994      5.04%     54.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    818545      7.43%     62.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    702160      6.37%     68.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    762830      6.92%     75.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    502788      4.56%     80.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    446116      4.05%     84.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1755665     15.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11021255                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2362      0.52%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.52% # attempts to use FU when none available (Count)
