
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007199                       # Number of seconds simulated (Second)
simTicks                                   7199069000                       # Number of ticks simulated (Tick)
finalTick                                  8190112000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     61.59                       # Real time elapsed on the host (Second)
hostTickRate                                116884386                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     13299478                       # Number of instructions simulated (Count)
simOps                                       18947824                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   215930                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     307637                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14398138                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17118039                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       18207712                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8789                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                96725                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             62620                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14393715                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.264977                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.292864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10043549     69.78%     69.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    565061      3.93%     73.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    764898      5.31%     79.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    514785      3.58%     82.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    699265      4.86%     87.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    471238      3.27%     90.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    501560      3.48%     94.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    260982      1.81%     96.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    572377      3.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14393715                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  109298     15.25%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   6995      0.98%     16.22% # attempts to use FU when none available (Count)
