
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018435                       # Number of seconds simulated (Second)
simTicks                                  18434932000                       # Number of ticks simulated (Tick)
finalTick                                 19425345000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     75.69                       # Real time elapsed on the host (Second)
hostTickRate                                243573628                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     13190949                       # Number of instructions simulated (Count)
simOps                                       15908064                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174287                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210187                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         36869864                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14020198                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16936905                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13344                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                38413                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             99156                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            36865439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.459425                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.098561                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  29508936     80.04%     80.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3025394      8.21%     88.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1601540      4.34%     92.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    416002      1.13%     93.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2184821      5.93%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     79287      0.22%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     28014      0.08%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     14938      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6507      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              36865439                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       2      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
