
---------- Begin Simulation Statistics ----------
simSeconds                                   0.043322                       # Number of seconds simulated (Second)
simTicks                                  43322044000                       # Number of ticks simulated (Tick)
finalTick                                 43322044000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    474.13                       # Real time elapsed on the host (Second)
hostTickRate                                 91372145                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680140                       # Number of bytes of host memory used (Byte)
simInsts                                    131355956                       # Number of instructions simulated (Count)
simOps                                      155204110                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277048                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     327347                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         86644089                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       155955007                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      168                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      155694036                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3555                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               751057                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            701031                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            86505324                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.799820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.624019                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  51757238     59.83%     59.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5187664      6.00%     65.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3456378      4.00%     69.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3348096      3.87%     73.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4026613      4.65%     78.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6486719      7.50%     85.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5279450      6.10%     91.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2372747      2.74%     94.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4590419      5.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              86505324                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   77288     13.83%     13.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     13.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1143      0.20%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     14.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                    100      0.02%     14.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     14.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 169034     30.24%     44.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     17      0.00%     44.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     44.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   457      0.08%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     44.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     44.37% # attempts to use FU when none available (Count)
