
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012065                       # Number of seconds simulated (Second)
simTicks                                  12065142000                       # Number of ticks simulated (Tick)
finalTick                                 13055941000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     83.87                       # Real time elapsed on the host (Second)
hostTickRate                                143849025                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     21906274                       # Number of instructions simulated (Count)
simOps                                       24062903                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   261181                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     286894                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         24130284                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22228146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       23951745                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    105                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                91583                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             98511                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24127776                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.992704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.930861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  18061669     74.86%     74.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    761055      3.15%     78.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    721804      2.99%     81.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    718754      2.98%     83.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1389004      5.76%     89.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1317173      5.46%     95.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    795977      3.30%     98.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    225643      0.94%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    136697      0.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              24127776                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       2      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
