
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018778                       # Number of seconds simulated (Second)
simTicks                                  18777513000                       # Number of ticks simulated (Tick)
finalTick                                 18777513000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    280.02                       # Real time elapsed on the host (Second)
hostTickRate                                 67058253                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                     86694972                       # Number of instructions simulated (Count)
simOps                                      103307844                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   309605                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     368932                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         37555027                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103926674                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      103716578                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2397                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               618842                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            568985                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37430250                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.770929                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.030590                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  16992710     45.40%     45.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2113411      5.65%     51.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1604427      4.29%     55.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1909374      5.10%     60.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1729034      4.62%     65.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2541458      6.79%     71.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4420661     11.81%     83.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2434601      6.50%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3684574      9.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              37430250                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20006      5.19%      5.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3559      0.92%      6.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.31%      6.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.43% # attempts to use FU when none available (Count)
