
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001246                       # Number of seconds simulated (Second)
simTicks                                   1246103500                       # Number of ticks simulated (Tick)
finalTick                                  2236786500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.56                       # Real time elapsed on the host (Second)
hostTickRate                                 91883890                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                      4520855                       # Number of instructions simulated (Count)
simOps                                        5271226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   333351                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     388680                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2492207                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3370257                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4483677                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5710                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                25543                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             73164                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             2487632                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.802388                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.994152                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    893197     35.91%     35.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    573609     23.06%     58.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    268357     10.79%     69.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    102854      4.13%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    414900     16.68%     90.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    127344      5.12%     95.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     32358      1.30%     96.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     25780      1.04%     98.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     49233      1.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2487632                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     208      0.16%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.16% # attempts to use FU when none available (Count)
