
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001254                       # Number of seconds simulated (Second)
simTicks                                   1253594000                       # Number of ticks simulated (Tick)
finalTick                                  2243491000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.29                       # Real time elapsed on the host (Second)
hostTickRate                                199420681                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681144                       # Number of bytes of host memory used (Byte)
simInsts                                      3339111                       # Number of instructions simulated (Count)
simOps                                        3692222                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   531172                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     587342                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2507188                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1786182                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1785406                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    121                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                20721                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             25405                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  99                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2487305                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.717807                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.800614                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1952122     78.48%     78.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    219833      8.84%     87.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     73999      2.98%     90.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6947      0.28%     90.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     51118      2.06%     92.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     32612      1.31%     93.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     67056      2.70%     96.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     42078      1.69%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     41540      1.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2487305                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      99      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.03% # attempts to use FU when none available (Count)
