
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000161                       # Number of seconds simulated (Second)
simTicks                                    160626000                       # Number of ticks simulated (Tick)
finalTick                                  1155598000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.37                       # Real time elapsed on the host (Second)
hostTickRate                                117270493                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681156                       # Number of bytes of host memory used (Byte)
simInsts                                      2096646                       # Number of instructions simulated (Count)
simOps                                        2390481                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  1530585                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1745074                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           321252                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          476086                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      230                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         470440                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     51                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12519                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16870                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  85                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              305785                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.538467                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.466652                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    196867     64.38%     64.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     20779      6.80%     71.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     11252      3.68%     74.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      5057      1.65%     76.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     15034      4.92%     81.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     15329      5.01%     86.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21634      7.07%     93.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13263      4.34%     97.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6570      2.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                305785                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      95      0.10%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.10% # attempts to use FU when none available (Count)
